"stock";"scenario";"term";"catch";"f";"hr";"ssb";"catch.iyv";"catch.MSY";"ssb.B0";"f.Fmsy";"quotaUpt";"depl.ini";"IAVhist";"RiskBlim.ini";"IAV";"Risk1.Collapse";"Risk1.Blim";"Risk3.Collapse";"Risk3.Blim";"Risk2.Collapse";"Risk2.Blim";"Risk.hrmax";"catch.var";"catch.low";"ucplow";"ucpup";"ICVperc_average";"ICVabsperc_average";"ICVperc_median";"ICVabsperc_median";"IBVperc_average";"IBVabsperc_average";"IBVperc_median";"IBVabsperc_median"
"STK1";"sc000002";"short";42422.8547368536;1.06169199879162;1.32482334162996;59061.7191351815;0.994063488731765;1.05672135282181;0.590617191351815;0.899738982026793;0.978299699020888;0.518496469737219;0.649264783881644;0.124;0.6774274914986;0.0976;0.2322;0.126;0.279;0.403;0.738;0.2214;1255878590.91821;0.013;0;0;0.643310216349762;1.19593240762389;-0.0245513691388922;0.680098229207146;0.903796659611158;1.38380229495115;0.145608763615783;0.697217543476101
"STK1";"sc000002";"mid";32756.6299357848;0.546128501842604;0.64823245049949;78695.5818095835;1.02577617828672;0.815942974944483;0.786955818095835;0.462820764273393;0.996972493614499;0.518496469737219;0.649264783881644;0.124;0.585046844607202;0.0292;0.0882;0.047;0.124;0.122;0.315;0.0728;679570941.123033;0.018;0;0;0.586323058426317;1.03797427276962;0.0175290201967362;0.563664670977371;0.618270011557081;1.00990855383394;0.0619606851352972;0.509391517450515
"STK1";"sc000002";"long";16731.9402236206;0.166100426507123;0.170252151678338;110725.88203409;1.01323989074399;0.416780026193717;1.1072588203409;0.140763073311121;1.00000257659924;0.518496469737219;0.649264783881644;0.124;0.44219999174204;0;8e-04;0;0.002;0;0.008;0.0014;145775249.552254;0.004;0;0;0.216549879329582;0.608454359669086;-0.0671000024215341;0.397620259622068;0.213945288248374;0.548272840014319;-0.0646814875669705;0.349244215849541
"STK1";"sc000005";"short";40130.0719009007;1.02546948119799;1.30337627745261;60916.7590344878;1.0129468733386;0.999609859614591;0.609167590344878;0.869041933218632;0.969150080153961;0.518496469737219;0.649264783881644;0.124;0.677936370197994;0.0998;0.2264;0.122;0.275;0.417;0.736;0.226;1344260970.71819;0.051;0;0;0.471751509186729;1.04147494613054;-0.0782821500682995;0.647787002085556;0.912176249439434;1.38126913254115;0.129830222912769;0.698298639239189
"STK1";"sc000005";"mid";28547.9675363514;0.476294083069649;0.583608796508863;84470.1824158121;1.03026330072987;0.71110836511244;0.844701824158121;0.403639053448855;0.994848692812111;0.518496469737219;0.649264783881644;0.124;0.572172082958358;0.0292;0.0834;0.045;0.122;0.118;0.297;0.0738;689391481.445761;0.079;0;0;0.517483823793596;0.966540051063685;0.0173342341711664;0.550762072688048;0.59222849808851;0.964551117049496;0.0558433645216616;0.48045777714025
"STK1";"sc000005";"long";11031.544022665;0.101298515090525;0.104189827050451;118787.04631759;1.03096997169551;0.274787451142863;1.1878704631759;0.0858461992292582;1.00006403294875;0.518496469737219;0.649264783881644;0.124;0.41976669638265;0;6e-04;0;0.002;0;0.006;0.0013;102803133.178524;0.126;0;0;0.168178839054605;0.559638655424252;-0.0780451626639398;0.386326243708205;0.185727432385887;0.503279668513159;-0.0692863241065044;0.325244821609246
"STK1";"sc000008";"short";42229.8455993908;1.43630359039135;1.98387786324273;53898.7452604475;1.02494147180664;1.05191364060839;0.538987452604475;1.21720643253504;0.845012206372173;0.518496469737219;0.649264783881644;0.124;0.721827144505464;0.2068;0.3398;0.234;0.376;0.634;0.831;0.355;1473213750.69366;0.107;0;0;0.410300423237762;1.04334490342213;-0.229650311763182;0.637480100396919;0.88791686507339;1.41879660847466;0.0127877071206783;0.697741626584457
"STK1";"sc000008";"mid";36381.7707079171;1.06814653539443;1.47119446969423;64999.0665291214;1.00887706168885;0.906242500628437;0.649990665291214;0.905208928300362;0.895500156527487;0.518496469737219;0.649264783881644;0.124;0.703918993267215;0.1518;0.2566;0.176;0.294;0.484;0.69;0.2564;1410611757.7155;0.215;0;0;1.2157659919981;1.77072365891617;0.0398060606249984;0.747453055664024;0.946866326004038;1.39487382653288;0.100925074092404;0.636056656320734
"STK1";"sc000008";"long";25186.8249215411;0.472938960360018;0.600844424546467;93694.1881700539;1.00219319335616;0.627384834648001;0.936941881700539;0.40079572911866;0.977826256326501;0.518496469737219;0.649264783881644;0.124;0.55554576135169;0.0407;0.08;0.056;0.113;0.288;0.444;0.0837;824933060.235682;0.254;0;0;0.57028111259311;1.00856428642016;0.0443587431605145;0.557018476739918;0.475021558424722;0.858003414082037;-0.0271356836848212;0.419178018496829
"STK1";"sc000011";"short";38783.7748355177;1.01542089326684;1.29672494875676;62360.9517122963;1.0155698401788;0.966074613930249;0.623609517122963;0.860526180734609;0.95827832962257;0.518496469737219;0.649264783881644;0.124;0.678763618933948;0.1032;0.2304;0.124;0.279;0.431;0.753;0.2254;1345113798.92759;0.068;0;0;0.302094498358497;0.882594095223943;-0.111467337781325;0.623763560113726;0.896307594058445;1.3600877101711;0.142581676014991;0.694254900776708
"STK1";"sc000011";"mid";27269.3601707416;0.504978136446083;0.633206041126977;85738.5974350328;0.996550373028079;0.679259218856343;0.857385974350328;0.427947573259392;0.987358153053369;0.518496469737219;0.649264783881644;0.124;0.586049292715346;0.0442;0.0986;0.064;0.142;0.179;0.327;0.0894;819392497.75743;0.157;0;0;Inf;Inf;0.0263389805407719;0.564150522704902;0.618592442438692;0.987505156599648;0.0584971679238427;0.469527607506019
"STK1";"sc000011";"long";8668.31425230388;0.080819105192646;0.0849412105022588;121984.430340814;1.05414540098986;0.21592117786976;1.21984430340814;0.0684907671124118;0.999529767983165;0.518496469737219;0.649264783881644;0.124;0.413281102530671;2e-04;0.0012;0.001;0.003;0.002;0.011;0.0022;115666074.064998;0.407;0;0;Inf;Inf;-0.0790591775427026;0.38208228300809;0.178963716496991;0.490540271942797;-0.0703727886314732;0.317888947882139
"STK1";"sc000074";"short";33194.9237819803;0.798572416716395;0.926431079178727;69938.9481836184;1.0146526272752;0.826860544470583;0.699389481836184;0.676756285352877;0.988487013617429;0.518496469737219;0.649264783881644;0.124;0.599074511513155;0.064;0.1624;0.097;0.242;0.244;0.535;0.1388;380837978.592824;0.001;0.164848993288591;0.542813455657492;0.0836064748619958;0.537824055079546;0.0451626487352809;0.598191573575064;0.767527148448777;1.18725415266337;0.0794949293477171;0.567274980758961
"STK1";"sc000074";"mid";20730.2644704542;0.304185099050191;0.326578056911213;97138.5466646166;1.0065932671294;0.516375271099851;0.971385466646166;0.257783982245925;0.999367217927305;0.518496469737219;0.649264783881644;0.124;0.496687738647289;0.0096;0.0352;0.023;0.068;0.037;0.13;0.017;131312217.825422;0.001;0.0461783439490446;0.448151125401929;0.0787721980759839;0.467371784957707;-0.00334693261277424;0.462209702936296;0.417600090623274;0.758882332949534;-0.020905534239116;0.404922750548487
