"stock";"scenario";"term";"catch";"f";"hr";"ssb";"catch.iyv";"catch.MSY";"ssb.B0";"f.Fmsy";"quotaUpt";"depl.ini";"IAVhist";"RiskBlim.ini";"IAV";"Risk1.Collapse";"Risk1.Blim";"Risk3.Collapse";"Risk3.Blim";"Risk2.Collapse";"Risk2.Blim";"Risk.hrmax";"catch.var";"catch.low";"ucplow";"ucpup";"ICVperc_average";"ICVabsperc_average";"ICVperc_median";"ICVabsperc_median";"IBVperc_average";"IBVabsperc_average";"IBVperc_median";"IBVabsperc_median"
"STK1";"sc000001";"short";0;0;NA;112056.666338075;0;0;1.12056666338075;0;NA;0.518496469737219;0.649264783881644;0.124;0.458409090587053;4e-04;0.0108;0.002;0.051;0.002;0.051;NA;0;1;0;0;-1;1;-1;1;0.510804562525087;0.726052573060181;0.113000148504878;0.34730320144849
"STK1";"sc000001";"mid";0;0;NA;133634.776333835;NA;0;1.33634776333835;0;NA;0.518496469737219;0.649264783881644;0.124;0.376900363906539;0;0;0;0;0;0;NA;0;1;0;0;NA;NA;NA;NA;0.14310856469231;0.435000698991616;-0.0779028266383184;0.295648923184875
"STK1";"sc000001";"long";0;0;NA;134991.063442027;NA;0;1.34991063442027;0;NA;0.518496469737219;0.649264783881644;0.124;0.376950265090798;0;0;0;0;0;0;NA;0;1;0;0;NA;NA;NA;NA;0.12811632929402;0.421460908447724;-0.0844462890666019;0.289152795296757
"STK1";"sc000002";"short";42422.8547368536;1.06169199879162;1.32482334162996;59061.7191351815;0.994063488731765;1.05672135282181;0.590617191351815;0.899738982026793;0.978299699020888;0.518496469737219;0.649264783881644;0.124;0.6774274914986;0.0976;0.2322;0.126;0.279;0.403;0.738;0.2214;1255878590.91821;0.013;0;0;0.643310216349762;1.19593240762389;-0.0245513691388922;0.680098229207146;0.903796659611158;1.38380229495115;0.145608763615783;0.697217543476101
"STK1";"sc000002";"mid";32756.6299357848;0.546128501842604;0.64823245049949;78695.5818095835;1.02577617828672;0.815942974944483;0.786955818095835;0.462820764273393;0.996972493614499;0.518496469737219;0.649264783881644;0.124;0.585046844607202;0.0292;0.0882;0.047;0.124;0.122;0.315;0.0728;679570941.123033;0.018;0;0;0.586323058426317;1.03797427276962;0.0175290201967362;0.563664670977371;0.618270011557081;1.00990855383394;0.0619606851352972;0.509391517450515
"STK1";"sc000002";"long";16731.9402236206;0.166100426507123;0.170252151678338;110725.88203409;1.01323989074399;0.416780026193717;1.1072588203409;0.140763073311121;1.00000257659924;0.518496469737219;0.649264783881644;0.124;0.44219999174204;0;8e-04;0;0.002;0;0.008;0.0014;145775249.552254;0.004;0;0;0.216549879329582;0.608454359669086;-0.0671000024215341;0.397620259622068;0.213945288248374;0.548272840014319;-0.0646814875669705;0.349244215849541
"STK1";"sc000003";"short";47411.001919929;1.28604185122043;0.835445234063478;54264.0166668471;1.01326229676645;1.18097234140026;0.542640166668471;1.08986597561054;0.938539985337404;0.518496469737219;0.649264783881644;0.124;0.680422864061524;0.055;0.1946;0.067;0.225;0.19;0.511;0.1096;1744975034.49902;0;0;0;0.330216709935668;0.795741005823811;-0.0725982786921836;0.50750675322417;0.458267928707806;0.889759432256796;-0.00586384335366047;0.513367950704412
"STK1";"sc000003";"mid";41140.7907523174;0.886909622345646;0.614033872129761;66151.8925746188;1.00343528547529;1.02478610479226;0.661518925746188;0.751618324021734;0.972984814237827;0.518496469737219;0.649264783881644;0.124;0.640728177209558;0.0296;0.1122;0.044;0.151;0.111;0.335;0.0654;1349737518.72265;0.005;0;0;0.359115193174255;0.77894993348006;-0.0279110684208967;0.480439752759647;0.474931414138638;0.854141286380722;0.0118150841421821;0.464751674512608
"STK1";"sc000003";"long";25379.6790633395;0.302078482824577;0.247452030050654;97835.9341889781;1.00385017366551;0.632188686036187;0.978359341889781;0.255998714258116;0.999170254223951;0.518496469737219;0.649264783881644;0.124;0.490843059407954;6e-04;0.0059;0.002;0.01;0.004;0.048;0.00533333333333333;425200805.707444;0.002;0;0;0.197609200794427;0.573114684266235;-0.0579816193073123;0.388376625017404;0.234900884419349;0.57437097343514;-0.0601721448879164;0.360244138315052
"STK1";"sc000004";"short";35122.6319314175;1.29358923505768;1.69887888028564;61403.853484626;1.00173898255189;0.874878302260683;0.61403853484626;1.0962620636082;0.850448366156954;0.518496469737219;0.649264783881644;0.124;0.669257842832916;0.1668;0.2866;0.232;0.351;0.486;0.711;0.3202;963860985.968827;0.095;0;0;0.295359930404229;0.865928501080313;-0.180936766546001;0.54688959774984;0.797330643212278;1.28969107981282;-0.0185485163896707;0.608010471114543
