"ftgt";"fprop_s1";"fprop_s2";"biomass";"b1plus";"ssb";"rec";"ssbpr";"fbar";"pF_s1";"pF_s2";"yield";"pY_s1";"pY_s2";"YPR";"hr_b1plus";"hr_ssb";"conv";"rec0";"ssb0";"ssbpr0";"ratioR";"ratioB";"ratioSPR";"slope";"rslope";"fmsy";"f01"
0;0.1;0.9;126477.091439237;126477.091439237;1e+05;2178637.18558723;0.0459002539117343;0;0.1;0.9;0;0;0;0;0;0;1;2178637.18558723;1e+05;0.0459002539117343;1;1;1;110255.538835334;1;FALSE;FALSE
0.01;0.1;0.9;123591.433099903;123591.433099903;97505.4212096785;2174002.21269494;0.0448506540795139;0.00833333333333333;0.1;0.9;918.79615696112;0.11350899246506;0.88649100753494;0.000422628896877782;0.00743414113677628;0.00942302638727454;1;2178637.18558723;1e+05;0.0459002539117343;0.997872535673698;0.975054212096785;0.977133027755386;104207.307577918;0.945143515497675;FALSE;FALSE
0.02;0.1;0.9;120840.708709667;120840.708709667;95127.2030540032;2169376.83691177;0.0438500132551531;0.0166666666666667;0.1;0.9;1787.19038677711;0.113854288477043;0.886145711522957;0.000823826619869913;0.014789638407956;0.0187873744775459;1;2178637.18558723;1e+05;0.0459002539117343;0.995749476444851;0.951272030540032;0.955332694661696;98583.317837033;0.894134833300904;FALSE;FALSE
0.03;0.1;0.9;118215.842763639;118215.842763639;92857.5447989461;2164761.35118832;0.0428950492616533;0.025;0.1;0.9;2608.71803541905;0.114199509698796;0.885800490301204;0.00120508343055322;0.0220674147765027;0.0280937649284978;1;2178637.18558723;1e+05;0.0459002539117343;0.993630956778528;0.928575447989461;0.934527493990339;93346.2156308655;0.846635158803924;FALSE;FALSE
0.04;0.1;0.9;115708.546407584;115708.546407584;90689.3210993415;2160156.03206763;0.0419827640934515;0.0333333333333333;0.1;0.9;3386.60316567626;0.114544641568817;0.885455358431183;0.00156775858567713;0.0292683926193916;0.0373429101091909;1;2178637.18558723;1e+05;0.0459002539117343;0.991517103608686;0.906893210993415;0.914652110077297;88462.5782990311;0.802341353853879;FALSE;FALSE
0.05;0.1;0.9;113311.226408647;113311.226408647;88616.0041961349;2155561.12553961;0.0411104111807319;0.0416666666666667;0.1;0.9;4123.79131816819;0.114889669405081;0.885110330594919;0.00191309412166906;0.0363934929386087;0.0465355141610871;1;2178637.18558723;1e+05;0.0459002539117343;0.98940802984532;0.886160041961349;0.895646705131237;83902.4883725214;0.760982071819802;FALSE;FALSE
0.06;0.1;0.9;111016.924612182;111016.924612182;86631.6114765494;2150976.86815389;0.0402754733252442;0.05;0.1;0.9;4822.97872127253;0.115234578961229;0.884765421038771;0.00224222714464239;0.0434436347261533;0.0556722729621401;1;2178637.18558723;1e+05;0.0459002539117343;0.987303844065306;0.866316114765494;0.877456438535036;79639.0763385637;0.722313610543448;FALSE;FALSE
0.07;0.1;0.9;108819.250345665;108819.250345665;84730.6475941845;2146403.48178676;0.0394756383471997;0.0583333333333333;0.1;0.9;5486.63769076056;0.115579356269164;0.884420643730836;0.00255620051743172;0.0504197343147673;0.0647538741476247;1;2178637.18558723;1e+05;0.0459002539117343;0.98520464811043;0.847306475941845;0.860030936280024;75648.1626206762;0.686116665155988;FALSE;FALSE
0.08;0.1;0.9;106712.324017627;106712.324017627;82908.0560601528;2141841.17422086;0.0387087787171299;0.0666666666666667;0.1;0.9;6117.03904593286;0.115923987639294;0.884076012360706;0.00285597229129656;0.0573227047789009;0.0737809971264401;1;2178637.18558723;1e+05;0.0459002539117343;0.983110537353444;0.829080560601528;0.843323847218067;71907.942698135;0.652193472162236;FALSE;FALSE
0.09;0.1;0.9;104690.727297714;104690.727297714;81159.1764823417;2137290.13970212;0.0379729335642063;0.075;0.1;0.9;6716.27190175066;0.116268459660274;0.883731540339726;0.00314242403358803;0.0641534553738581;0.0827543131023755;1;2178637.18558723;1e+05;0.0459002539117343;0.981021600953732;0.811591764823417;0.827292451088132;68398.7397146172;0.620365565640835;FALSE;FALSE
