"ftgt";"fprop_s1";"fprop_s2";"biomass";"b1plus";"ssb";"rec";"ssbpr";"fbar";"pF_s1";"pF_s2";"yield";"pY_s1";"pY_s2";"YPR";"hr_b1plus";"hr_ssb";"conv";"rec0";"ssb0";"ssbpr0";"ratioR";"ratioB";"ratioSPR";"slope";"rslope";"fmsy";"f01"
0;0.1;0.9;125541.184395754;125541.184395754;1e+05;27489765.5170204;0.00363771746027024;0;0.1;0.9;0;0;0;0;0;0;1;27489765.5170204;1e+05;0.00363771746027024;1;1;1;86354.3256088258;1;FALSE;FALSE
0.01;0.1;0.9;124050.455879281;124050.455879281;98863.3966979133;27410981.5252811;0.00360670764768972;0.01;0.1;0.9;863.543256088258;0.134661552371814;0.865338447628186;3.15035510600674e-05;0.00696122597831169;0.00873471158114159;1;27489765.5170204;1e+05;0.00363771746027024;0.997134060976602;0.988633966979133;0.991475475234349;83867.6283785226;0.971203559141118;FALSE;FALSE
0.02;0.1;0.9;122594.768048831;122594.768048831;97752.0289533109;27332625.6811034;0.00357638633381982;0.02;0.1;0.9;1702.21953987349;0.135105401888158;0.864894598111842;6.22779369876025e-05;0.0138849281006468;0.0174136491907141;1;27489765.5170204;1e+05;0.00363771746027024;0.994283696751807;0.977520289533109;0.983140217149832;81467.3445584325;0.943407802493523;FALSE;FALSE
0.03;0.1;0.9;121172.977979591;121172.977979591;96665.0926365463;27254696.4619957;0.00354673157968709;0.03;0.1;0.9;2516.89298545781;0.135550580697157;0.864449419302843;9.2347129565996e-05;0.0207710747678556;0.0260372479538311;1;27489765.5170204;1e+05;0.00363771746027024;0.991448851941673;0.966650926365463;0.974988194774098;79149.7759277438;0.916569903936049;FALSE;FALSE
0.04;0.1;0.9;119783.990499387;119783.990499387;95601.8168359898;27177192.3003795;0.00351772235260134;0.04;0.1;0.9;3308.39074473525;0.135997081832741;0.864002918167259;0.00012173408894373;0.0276196404122318;0.0346059400775926;1;27489765.5170204;1e+05;0.00363771746027024;0.988629469522122;0.956018168359898;0.967013626269924;76911.4136472467;0.890649230423565;FALSE;FALSE
0.05;0.1;0.9;118426.755375721;118426.755375721;94561.4619046211;27100111.5655854;0.00348933847286095;0.05;0.1;0.9;4077.50488120771;0.136444898339746;0.863555101660254;0.000150460815312132;0.0344306053836517;0.0431201548609778;1;27489765.5170204;1e+05;0.00363771746027024;0.985825490174013;0.945614619046211;0.959210964284658;74748.9297363847;0.865607243289559;FALSE;FALSE
0.06;0.1;0.9;117100.265854666;117100.265854666;93543.3184627406;27023452.6087358;0.00346156058654404;0.06;0.1;0.9;4824.99417857156;0.136894023318749;0.863105976681251;0.000178548398253589;0.0412039558010903;0.0515803187000835;1;27489765.5170204;1e+05;0.00363771746027024;0.983036853915836;0.935433184627406;0.951574888470554;72659.1625971238;0.841407330609709;FALSE;FALSE
0.07;0.1;0.9;115803.555739008;115803.555739008;92546.7053622953;26947213.7244756;0.00343437010996936;0.07;0.1;0.9;5551.5858045428;0.137344449883621;0.862655550116379;0.000206017062146221;0.047939683450262;0.0599868550999179;1;27489765.5170204;1e+05;0.00363771746027024;0.980263498711589;0.925467053622953;0.944100290217215;70639.1099959842;0.818014725932439;FALSE;FALSE
0.08;0.1;0.9;114535.697784881;114535.697784881;91570.9685840355;26871393.1748793;0.00340774919960759;0.08;0.1;0.9;6257.97690450264;0.137796171184309;0.862203828815691;0.000232886209649633;0.0546377856470242;0.0683401846815636;1;27489765.5170204;1e+05;0.00363771746027024;0.977505361340448;0.915709685840355;0.936782264380266;68685.9184361016;0.795396385205301;FALSE;FALSE
0.09;0.1;0.9;113295.801691963;113295.801691963;90615.47984417;26795989.1858611;0.00338168071406683;0.09;0.1;0.9;6944.83608886366;0.138249180400852;0.861750819599148;0.000259174462293338;0.0612982651179412;0.0766407251918389;1;27489765.5170204;1e+05;0.00363771746027024;0.974762377266195;0.9061547984417;0.929616098831275;66796.8747215169;0.773520889087807;FALSE;FALSE
