"fprop_s1";"fprop_s2";"refpt";"fbar";"yield";"pY_s1";"pY_s2";"ssb";"ratioB";"ratioSPR";"ratioR";"hr_b1plus";"hr_ssb"
0.1;0.9;"virgin";0;0;0;0;1e+05;1;1;1;0;0
0.1;0.9;"msy";0.35;12584.7561089046;0.127474459787293;0.872525540212707;35689.5996200192;0.356895996200192;0.517671997150144;0.689424960525108;0.254618678476682;0.352616903604755
0.1;0.9;"f0.1";0.25;11998.8452370834;0.123444687587001;0.876555312412999;46172.8305400709;0.461728305400709;0.596296229050531;0.774327059112729;0.192463862990826;0.259868089019802
0.1;0.9;"spr.20";1.3;461.149893815155;0.162038923265043;0.837961076734957;439.242575601149;0.00439242575601149;0.253294319317009;0.0173411933116202;0.620733839454898;1.04987521572567
0.1;0.9;"spr.30";0.975;5580.3953590802;0.150964287476257;0.849035712523743;6652.45283421284;0.0665245283421284;0.299893396256596;0.221827253192359;0.526744340270946;0.838847790153555
0.1;0.9;"spr.35";0.75;8984.93134202767;0.142866260486726;0.857133739513274;13240.5331224064;0.132405331224064;0.349303998418048;0.379054725464668;0.446400226201024;0.678592867746605
0.1;0.9;"spr.40";0.583333333333333;11113.8070503039;0.136605398773114;0.863394601226886;20197.5778011705;0.201975778011705;0.401481833508779;0.503075758737385;0.375677177198317;0.550254449306282
0.1;0.9;"spr.50";0.375;12575.1692982832;0.128471831965785;0.871528168034215;33535.9875563615;0.335359875563615;0.501519906672712;0.668687067256273;0.269084087863031;0.374975368688605
0.1;0.9;"F.20B0";0.583333333333333;11113.8070503039;0.136605398773114;0.863394601226886;20197.5778011705;0.201975778011705;0.401481833508779;0.503075758737385;0.375677177198317;0.550254449306282
0.1;0.9;"F.30B0";0.416666666666667;12457.5524135819;0.130124451345666;0.869875548654334;30269.1483135274;0.302691483135274;0.477018612351455;0.63454858007146;0.292323156532085;0.41155939653626
0.1;0.9;"F.35B0";0.358333333333333;12587.1823204818;0.127807389416743;0.872192610583257;34954.2319938021;0.349542319938021;0.512156739953516;0.682490910828873;0.259485382642728;0.360104674098222
0.1;0.9;"F.40B0";0.308333333333333;12477.3464130285;0.125802942459569;0.874197057540431;39656.3403936505;0.396563403936505;0.547422552952379;0.724419192811376;0.229586425050494;0.314636859810349
0.1;0.9;"F.50B0";0.216666666666667;11503.124751483;0.122088428165987;0.877911571834013;50523.3012000506;0.505233012000506;0.628924759000379;0.803328227693769;0.170080223234353;0.227679594924638
0.1;0.9;"F.50R0";0.583333333333333;11113.8070503039;0.136605398773114;0.863394601226886;20197.5778011705;0.201975778011705;0.401481833508779;0.503075758737385;0.375677177198317;0.550254449306282
0.1;0.9;"F.90msy";0.208333333333333;11348.4534643373;0.121748454599667;0.878251545400332;51695.2427100691;0.516952427100691;0.637714320325518;0.810633242227986;0.164343842347229;0.2195260698936
0.2;0.8;"virgin";0;0;0;0;1e+05;1;1;1;0;0
0.2;0.8;"msy";0.325;12301.7407919985;0.246099606004155;0.753900393995845;35642.6987303343;0.356426987303342;0.517320240477507;0.688987129083421;0.242470369632946;0.34514055417271
0.2;0.8;"f0.1";0.241666666666667;11816.7451525777;0.240307224019163;0.759692775980837;45183.6221442187;0.451836221442187;0.58887716608164;0.76728432934271;0.189218094970034;0.261527177145306
0.2;0.8;"spr.20";1.1;509.628311787872;0.294709602247601;0.705290397752399;497.327742759917;0.00497327742759917;0.253729958070699;0.0196006709866456;0.569055595490881;1.02473332567311
0.2;0.8;"spr.30";0.85;5478.42869885222;0.280056011114118;0.719943988885882;6680.30804803075;0.0668030804803075;0.300102310360231;0.22260102029911;0.487648941252343;0.820086238458296
0.2;0.8;"spr.35";0.666666666666667;8817.66576979093;0.268719960241162;0.731280039758838;13309.7514585192;0.133097514585192;0.349823135938894;0.380470874883589;0.41603239299214;0.662496651216353
0.2;0.8;"spr.40";0.533333333333333;10805.9335897035;0.260120974407631;0.739879025592369;19905.3396321998;0.199053396321998;0.399290047241498;0.498518301914013;0.355570824794076;0.542866074599567
0.2;0.8;"spr.50";0.35;12287.955778161;0.247818010189444;0.752181989810556;33239.8842976036;0.332398842976036;0.499299132232027;0.665730864562305;0.257462158175769;0.369675046644096
0.2;0.8;"F.20B0";0.533333333333333;10805.9335897035;0.260120974407631;0.739879025592369;19905.3396321998;0.199053396321998;0.399290047241498;0.498518301914013;0.355570824794076;0.542866074599567
0.2;0.8;"F.30B0";0.383333333333333;12181.3976377879;0.250094580673434;0.749905419326566;30300.4801660922;0.303004801660921;0.477253601245691;0.634892645901553;0.276798690067129;0.402019953842828
0.2;0.8;"F.35B0";0.333333333333333;12304.0080785113;0.246673435357436;0.753326564642564;34821.4518868294;0.348214518868294;0.51116088915122;0.681222930507265;0.247515545928882;0.353345636434106
