"ftgt";"fprop_s1";"fprop_s2";"biomass";"b1plus";"ssb";"rec";"ssbpr";"fbar";"pF_s1";"pF_s2";"yield";"pY_s1";"pY_s2";"YPR";"hr_b1plus";"hr_ssb";"conv";"rec0";"ssb0";"ssbpr0";"ratioR";"ratioB";"ratioSPR";"slope";"rslope";"fmsy";"f01"
0;0.1;0.9;125541.184395754;125541.184395754;1e+05;27489765.5170204;0.00363771746027024;0;0.1;0.9;0;0;0;0;0;0;1;27489765.5170204;1e+05;0.00363771746027024;1;1;1;86581.2494356286;1;FALSE;FALSE
0.01;0.1;0.9;124376.438599188;124376.438599188;99123.1921555286;27483012.6066831;0.00360670766244253;0.01;0.1;0.9;865.812494356286;0.134661552438655;0.865338447561345;3.15035511844049e-05;0.00696122596938502;0.00873471157988727;1;27489765.5170204;1e+05;0.00363771746027024;0.999754348201581;0.991231921555286;0.991475479289861;84535.4564911671;0.976371408846641;FALSE;FALSE
0.02;0.1;0.9;123239.173316227;123239.173316227;98265.8511541915;27476296.3901817;0.00357638634256783;0.02;0.1;0.9;1711.16705926796;0.135105401931253;0.864894598068747;6.22779371341846e-05;0.0138849280891974;0.0174136491891056;1;27489765.5170204;1e+05;0.00363771746027024;0.99951003122124;0.982658511541915;0.98314021955464;82557.3206729272;0.953524247005777;FALSE;FALSE
0.03;0.1;0.9;122128.503093889;122128.503093889;97427.357562396;27469616.7439732;0.00354673159332562;0.03;0.1;0.9;2536.74026599723;0.135550580760157;0.864449419239843;9.23471299086758e-05;0.0207710747428637;0.0260372479503266;1;27489765.5170204;1e+05;0.00363771746027024;0.99926704456483;0.97427357562396;0.974988198523295;80643.981038919;0.931425471041234;FALSE;FALSE
0.04;0.1;0.9;121043.577363065;121043.577363065;96607.1162755264;27462973.530539;0.00351772236783095;0.04;0.1;0.9;3343.18007638642;0.135997081904823;0.864002918095177;0.000121734089452068;0.0276196403742983;0.0346059400722776;1;27489765.5170204;1e+05;0.00363771746027024;0.999025383229813;0.966071162755264;0.967013630456506;78792.7250212589;0.910043751214744;FALSE;FALSE
0.05;0.1;0.9;119983.581094195;119983.581094195;95804.5568401198;27456366.6111608;0.00348933849102875;0.05;0.1;0.9;4131.10732659901;0.136444898423421;0.863555101576579;0.000150460816068786;0.0344306053288726;0.0431201548533132;1;27489765.5170204;1e+05;0.00363771746027024;0.998785042170003;0.958045568401198;0.959210969278942;77000.9778841103;0.889349349726801;FALSE;FALSE
0.06;0.1;0.9;118947.732522281;118947.732522281;95019.1319064296;27449795.8435601;0.00346156060496609;0.06;0.1;0.9;4901.11710544011;0.136894023405312;0.863105976594688;0.000178548399171061;0.0412039557334315;0.0515803186906243;1;27489765.5170204;1e+05;0.00363771746027024;0.998546016209721;0.950191319064296;0.951574893534732;75266.2947233146;0.869314028313642;FALSE;FALSE
0.07;0.1;0.9;117935.281484518;117935.281484518;94250.3160783407;27443261.0820556;0.00343437012811748;0.07;0.1;0.9;5653.78005267326;0.137344449970653;0.862655550029347;0.000206017063196987;0.0479396833713028;0.0599868550888874;1;27489765.5170204;1e+05;0.00363771746027024;0.998308300049483;0.942503160783407;0.944100295206091;73586.3527609662;0.84991095925078;FALSE;FALSE
0.08;0.1;0.9;116945.507856015;116945.507856015;93497.604831031;27436762.1777136;0.00340774921710615;0.08;0.1;0.9;6389.64358028292;0.137796171269991;0.862203828730009;0.000232886210803442;0.0546377855586377;0.0683401846692254;1;27489765.5170204;1e+05;0.00363771746027024;0.998071888271509;0.93497604831031;0.93678226919058;71958.9441654848;0.831114642425953;FALSE;FALSE
0.09;0.1;0.9;115977.720076951;115977.720076951;92760.5134917841;27430298.978495;0.00338168073065872;0.09;0.1;0.9;7109.23302193777;0.138249180483849;0.861750819516151;0.000259174463519749;0.0612982650221162;0.076640725178472;1;27489765.5170204;1e+05;0.00363771746027024;0.997836775345042;0.927605134917841;0.929616103392345;70381.969356765;0.812900828014645;FALSE;FALSE
