"fprop_s1";"fprop_s2";"refpt";"fbar";"yield";"pY_s1";"pY_s2";"ssb";"ratioB";"ratioSPR";"ratioR";"hr_b1plus";"hr_ssb"
0.1;0.9;"virgin";0;0;0;0;1e+05;1;1;1;0;0
0.1;0.9;"msy";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
0.1;0.9;"f0.1";1.42;41830.8969762631;0.207519847420834;0.792480152579166;49606.4906954534;0.496064906954534;0.538059498041656;0.921951770687131;0.653254826768306;0.843254509436546
0.1;0.9;"spr.20";4;49459.2579760227;0.360911693104734;0.639088306895266;31426.7368913378;0.314267368913378;0.371411754837263;0.846142764251166;0.973636844581609;1.57379552789826
0.1;0.9;"spr.30";4;49459.2579760227;0.360911693104734;0.639088306895266;31426.7368913378;0.314267368913378;0.371411754837263;0.846142764251166;0.973636844581609;1.57379552789826
0.1;0.9;"spr.35";4;49459.2579760227;0.360911693104734;0.639088306895266;31426.7368913378;0.314267368913378;0.371411754837263;0.846142764251166;0.973636844581609;1.57379552789826
0.1;0.9;"spr.40";3.34;48990.5924412686;0.321893293596068;0.678106706403932;34551.6239956128;0.345516239956128;0.400056553293117;0.863668491646909;0.934671219196228;1.41789550753068
0.1;0.9;"spr.50";1.78;44404.3608228524;0.228394065650426;0.771605934349574;45422.7761270832;0.454227761270832;0.499708781164929;0.908984949617913;0.738508066336365;0.977579192839701
0.1;0.9;"F.20B0";4;49459.2579760227;0.360911693104734;0.639088306895266;31426.7368913378;0.314267368913378;0.371411754837263;0.846142764251166;0.973636844581609;1.57379552789826
0.1;0.9;"F.30B0";4;49459.2579760227;0.360911693104734;0.639088306895266;31426.7368913378;0.314267368913378;0.371411754837263;0.846142764251166;0.973636844581609;1.57379552789826
0.1;0.9;"F.35B0";3.25;48882.5277715433;0.316505608751537;0.683494391248463;35017.710011582;0.35017710011582;0.404329008439501;0.866069692766592;0.928058192607885;1.39593730587682
0.1;0.9;"F.40B0";2.42;47161.4487987552;0.266527425340824;0.733472574659176;40030.3822996532;0.400303822996532;0.450278504413487;0.889013841595547;0.844762018370302;1.1781413538777
0.1;0.9;"F.50B0";1.39;41566.3773004929;0.205808068597377;0.794191931402623;50011.9998603969;0.500119998603969;0.541776665386972;0.923110998600782;0.645088456949328;0.831128077591798
0.1;0.9;"F.50R0";4;49459.2579760227;0.360911693104734;0.639088306895266;31426.7368913378;0.314267368913378;0.371411754837263;0.846142764251166;0.973636844581609;1.57379552789826
0.1;0.9;"F.90msy";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
0.2;0.8;"virgin";0;0;0;0;1e+05;1;1;1;0;0
0.2;0.8;"msy";2.73;45806.7946710622;0.494731012865185;0.505268987134815;26732.0491663061;0.267320491663061;0.328377117357806;0.814065528724961;0.909769108416169;1.71355343490833
