"fprop_s1";"fprop_s2";"refpt";"fbar";"yield";"pY_s1";"pY_s2";"ssb";"ratioB";"ratioSPR";"ratioR";"hr_b1plus";"hr_ssb"
0.1;0.9;"virgin";0;0;0;0;1e+05;1;1;1;0;0
0.1;0.9;"msy";1.66;32580.3492592562;0.221373855007661;0.778626144992339;34848.0333877545;0.348480333877545;0.511360250408159;0.681477165265376;0.7125356068289;0.93492648198348
0.1;0.9;"f0.1";0.91;30037.074657501;0.179175860723688;0.820824139276312;49076.3917595941;0.490763917595941;0.618072938196956;0.79402265860013;0.487127636159588;0.612047332343438
0.1;0.9;"spr.20";4;25476.9702728739;0.360911693104792;0.639088306895208;16188.233999431;0.16188233999431;0.371411754995732;0.435856802637197;0.973636844581116;1.57379552789819
0.1;0.9;"spr.30";4;25476.9702728739;0.360911693104792;0.639088306895208;16188.233999431;0.16188233999431;0.371411754995732;0.435856802637197;0.973636844581116;1.57379552789819
0.1;0.9;"spr.35";4;25476.9702728739;0.360911693104792;0.639088306895208;16188.233999431;0.16188233999431;0.371411754995732;0.435856802637197;0.973636844581116;1.57379552789819
0.1;0.9;"spr.40";3.34;28368.601713509;0.321893293595479;0.678106706404521;20007.540444852;0.20007540444852;0.40005655333639;0.500117802795459;0.93467121920144;1.41789550753143
0.1;0.9;"spr.50";1.78;32548.0145218946;0.228394065650948;0.771605934349052;33294.5041796269;0.332945041796269;0.499708781347201;0.666278148842327;0.738508066331512;0.977579192839007
0.1;0.9;"F.20B0";3.34;28368.601713509;0.321893293595479;0.678106706404521;20007.540444852;0.20007540444852;0.40005655333639;0.500117802795459;0.93467121920144;1.41789550753143
0.1;0.9;"F.30B0";2.07;32213.6910166874;0.245557816013646;0.754442183986354;30010.6975006909;0.300106975006909;0.475080231255182;0.631697459214445;0.79269498686109;1.0734069415063
0.1;0.9;"F.35B0";1.65;32579.633521967;0.220791410006831;0.779208589993169;34983.615313476;0.34983615313476;0.51237711485107;0.682770840060733;0.710267105976605;0.931282637029715
0.1;0.9;"F.40B0";1.33;32202.3603181339;0.202399273167385;0.797600726832615;39934.1377565563;0.399341377565563;0.549506033174172;0.726727921909798;0.628210449936758;0.806386768995583
0.1;0.9;"F.50B0";0.88;29766.2695623847;0.177565767029405;0.822434232970595;49898.8340942496;0.498988340942496;0.624241255706872;0.799351751235116;0.47533345037545;0.59653236598999
0.1;0.9;"F.50R0";3.34;28368.601713509;0.321893293595479;0.678106706404521;20007.540444852;0.20007540444852;0.40005655333639;0.500117802795459;0.93467121920144;1.41789550753143
0.1;0.9;"F.90msy";3.09;29331.9511040488;0.306900457371914;0.693099542628086;21626.5777513386;0.216265777513386;0.41219933313504;0.524663094111644;0.91533415574611;1.35629184798937
0.2;0.8;"virgin";0;0;0;0;1e+05;1;1;1;0;0
0.2;0.8;"msy";1.14;29585.9964610996;0.353437332000703;0.646562667999297;35307.7247486776;0.353077247486776;0.514807935615082;0.685842666867453;0.588761718602603;0.837946842275858
0.2;0.8;"f0.1";0.77;28087.6387593231;0.321093404318633;0.678906595681367;46765.9160001778;0.467659160001778;0.600744370001333;0.77846615524793;0.444785614120709;0.600600633145222
0.2;0.8;"spr.20";3.92;1096.18197266175;0.591127913141322;0.408872086858678;460.635232538893;0.00460635232538893;0.253454764244042;0.0181742581920995;1.00254969103265;2.37971803984664
0.2;0.8;"spr.30";3.13;12850.5678827774;0.528514234946707;0.471485765053293;6660.84410307421;0.0666084410307421;0.299956330773057;0.222060460798;0.948555301922383;1.92927017716065
0.2;0.8;"spr.35";2.46;20949.7370296158;0.471291191798277;0.528708808201724;13342.8933596419;0.133428933596419;0.350071700197315;0.381147443570027;0.877234899743824;1.57010450919005
0.2;0.8;"spr.40";1.94;25849.0079082265;0.425124792522335;0.574875207477665;19992.7992752594;0.199927992752594;0.399945994564445;0.499887473483319;0.794652790024561;1.29291589198388
0.2;0.8;"spr.50";1.22;29538.4550989909;0.360541447563973;0.639458552436027;33324.8159719463;0.333248159719463;0.499936119789597;0.66658148216959;0.615157285518156;0.886380141569487
0.2;0.8;"F.20B0";1.94;25849.0079082265;0.425124792522335;0.574875207477665;19992.7992752594;0.199927992752594;0.399945994564445;0.499887473483319;0.794652790024561;1.29291589198388
0.2;0.8;"F.30B0";1.37;29200.3587838091;0.373931466029886;0.626068533970114;29949.4232584076;0.299494232584076;0.474620674438057;0.631018092371708;0.660687641617962;0.974989018381573
0.2;0.8;"F.35B0";1.15;29585.7282776404;0.35432366811283;0.64567633188717;35052.1188667831;0.350521188667831;0.512890891500873;0.68342252607002;0.592145692965786;0.844049639055546
0.2;0.8;"F.40B0";0.97;29303.5130161488;0.33845646498162;0.66154353501838;40039.4705606305;0.400394705606305;0.550296029204729;0.727598754773759;0.527325210417376;0.731865646719165
0.2;0.8;"F.50B0";0.69;27243.0675776808;0.314246497263534;0.685753502736466;49912.0256614946;0.499120256614946;0.62434019246121;0.799436369213018;0.408369677200899;0.545821717644649
0.2;0.8;"F.50R0";1.94;25849.0079082265;0.425124792522335;0.574875207477665;19992.7992752594;0.199927992752594;0.399945994564445;0.499887473483319;0.794652790024561;1.29291589198388
