"fprop_s1";"fprop_s2";"refpt";"fbar";"yield";"pY_s1";"pY_s2";"ssb";"ratioB";"ratioSPR";"ratioR";"hr_b1plus";"hr_ssb"
0.1;0.9;"virgin";0;0;0;0;1e+05;1;1;1;0;0
0.1;0.9;"msy";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
0.1;0.9;"f0.1";1.61;46076.2434790794;0.218465848567423;0.781534151432577;50270.6944985252;0.502706944985252;0.516520640957884;0.973256255651247;0.701025997990441;0.916562699972867
0.1;0.9;"spr.20";4;55626.1319632839;0.360911693105019;0.639088306894981;35345.2090676495;0.353452090676495;0.371411754824371;0.951644868761982;0.973636844579195;1.57379552789792
0.1;0.9;"spr.30";4;55626.1319632839;0.360911693105019;0.639088306894981;35345.2090676495;0.353452090676495;0.371411754824371;0.951644868761982;0.973636844579195;1.57379552789792
0.1;0.9;"spr.35";4;55626.1319632839;0.360911693105019;0.639088306894981;35345.2090676495;0.353452090676495;0.371411754824371;0.951644868761982;0.973636844579195;1.57379552789792
0.1;0.9;"spr.40";3.34;54293.3900459334;0.321893293596193;0.678106706403807;38291.5311865917;0.382915311865917;0.400056553202975;0.957152954501508;0.934671219195123;1.41789550753053
0.1;0.9;"spr.50";1.78;47453.135617956;0.228394065661632;0.771605934338368;48541.4746613246;0.485414746613246;0.499708781429544;0.971395269910192;0.738508066232697;0.977579192825065
0.1;0.9;"F.20B0";4;55626.1319632839;0.360911693105019;0.639088306894981;35345.2090676495;0.353452090676495;0.371411754824371;0.951644868761982;0.973636844579195;1.57379552789792
0.1;0.9;"F.30B0";4;55626.1319632839;0.360911693105019;0.639088306894981;35345.2090676495;0.353452090676495;0.371411754824371;0.951644868761982;0.973636844579195;1.57379552789792
0.1;0.9;"F.35B0";4;55626.1319632839;0.360911693105019;0.639088306894981;35345.2090676495;0.353452090676495;0.371411754824371;0.951644868761982;0.973636844579195;1.57379552789792
0.1;0.9;"F.40B0";3;53361.8818585827;0.30148543594779;0.69851456405221;40013.4079670695;0.400134079670695;0.416797021902064;0.960021446037863;0.907582008707442;1.33360002483415
0.1;0.9;"F.50B0";1.64;46334.7184932849;0.220209382217443;0.779790617782557;49949.8669788855;0.499498669788855;0.513401484516942;0.972920189856544;0.707982019116156;0.927624462200695
0.1;0.9;"F.50R0";4;55626.1319632839;0.360911693105019;0.639088306894981;35345.2090676495;0.353452090676495;0.371411754824371;0.951644868761982;0.973636844579195;1.57379552789792
0.1;0.9;"F.90msy";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
0.2;0.8;"virgin";0;0;0;0;1e+05;1;1;1;0;0
0.2;0.8;"msy";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
