"MP","ADVT","HCRT","PBUF","UCPL","UCPU","HCRI","BSAFE"
"mp0098","iny","1o2",0,0.8,4,"nin","none"
"mp0099","fpa","1o2",0,0.8,4,"nin","none"
"mp0100","int","1o2",0,0.8,4,"nin","none"
"mp0101","iny","1o3",0,0.8,4,"nin","none"
"mp0102","fpa","1o3",0,0.8,4,"nin","none"
"mp0103","int","1o3",0,0.8,4,"nin","none"
"mp0104","iny","2o3",0,0.8,4,"nin","none"
"mp0105","fpa","2o3",0,0.8,4,"nin","none"
"mp0106","int","2o3",0,0.8,4,"nin","none"
"mp0107","iny","1o5",0,0.8,4,"nin","none"
"mp0108","fpa","1o5",0,0.8,4,"nin","none"
"mp0109","int","1o5",0,0.8,4,"nin","none"
"mp0110","iny","1o2",0,0.8,5.25,"nin","none"
"mp0111","fpa","1o2",0,0.8,5.25,"nin","none"
"mp0112","int","1o2",0,0.8,5.25,"nin","none"
"mp0113","iny","1o3",0,0.8,5.25,"nin","none"
"mp0114","fpa","1o3",0,0.8,5.25,"nin","none"
"mp0115","int","1o3",0,0.8,5.25,"nin","none"
"mp0116","iny","2o3",0,0.8,5.25,"nin","none"
"mp0117","fpa","2o3",0,0.8,5.25,"nin","none"
"mp0118","int","2o3",0,0.8,5.25,"nin","none"
"mp0119","iny","1o5",0,0.8,5.25,"nin","none"
"mp0120","fpa","1o5",0,0.8,5.25,"nin","none"
"mp0121","int","1o5",0,0.8,5.25,"nin","none"
"mp0122","iny","1o2",0,0,0,"nin","Imin"
"mp0123","fpa","1o2",0,0,0,"nin","Imin"
"mp0124","int","1o2",0,0,0,"nin","Imin"
"mp0125","iny","2o3",0,0,0,"nin","Imin"
"mp0126","fpa","2o3",0,0,0,"nin","Imin"
"mp0127","int","2o3",0,0,0,"nin","Imin"
"mp0128","iny","1o2",0,0.2,0.2,"nin","Imin"
"mp0129","fpa","1o2",0,0.2,0.2,"nin","Imin"
"mp0130","int","1o2",0,0.2,0.2,"nin","Imin"
"mp0131","iny","2o3",0,0.2,0.2,"nin","Imin"
"mp0132","fpa","2o3",0,0.2,0.2,"nin","Imin"
"mp0133","int","2o3",0,0.2,0.2,"nin","Imin"
"mp0134","iny","1o2",0,0.8,0.8,"nin","Imin"
"mp0135","fpa","1o2",0,0.8,0.8,"nin","Imin"
"mp0136","int","1o2",0,0.8,0.8,"nin","Imin"
"mp0137","iny","2o3",0,0.8,0.8,"nin","Imin"
"mp0138","fpa","2o3",0,0.8,0.8,"nin","Imin"
"mp0139","int","2o3",0,0.8,0.8,"nin","Imin"
"mp0140","iny","1o2",0,0.8,4,"nin","Imin"
"mp0141","fpa","1o2",0,0.8,4,"nin","Imin"
"mp0142","int","1o2",0,0.8,4,"nin","Imin"
"mp0143","iny","2o3",0,0.8,4,"nin","Imin"
"mp0144","fpa","2o3",0,0.8,4,"nin","Imin"
"mp0145","int","2o3",0,0.8,4,"nin","Imin"
"mp0146","iny","1o2",0,0,0,"nin","Iminpa"
"mp0147","fpa","1o2",0,0,0,"nin","Iminpa"
"mp0148","int","1o2",0,0,0,"nin","Iminpa"
"mp0149","iny","2o3",0,0,0,"nin","Iminpa"
"mp0150","fpa","2o3",0,0,0,"nin","Iminpa"
"mp0151","int","2o3",0,0,0,"nin","Iminpa"
"mp0152","iny","1o2",0,0.2,0.2,"nin","Iminpa"
"mp0153","fpa","1o2",0,0.2,0.2,"nin","Iminpa"
"mp0154","int","1o2",0,0.2,0.2,"nin","Iminpa"
"mp0155","iny","2o3",0,0.2,0.2,"nin","Iminpa"
"mp0156","fpa","2o3",0,0.2,0.2,"nin","Iminpa"
"mp0157","int","2o3",0,0.2,0.2,"nin","Iminpa"
"mp0158","iny","1o2",0,0.8,0.8,"nin","Iminpa"
"mp0159","fpa","1o2",0,0.8,0.8,"nin","Iminpa"
"mp0160","int","1o2",0,0.8,0.8,"nin","Iminpa"
"mp0161","iny","2o3",0,0.8,0.8,"nin","Iminpa"
"mp0162","fpa","2o3",0,0.8,0.8,"nin","Iminpa"
"mp0163","int","2o3",0,0.8,0.8,"nin","Iminpa"
"mp0164","iny","1o2",0,0.8,4,"nin","Iminpa"
"mp0165","fpa","1o2",0,0.8,4,"nin","Iminpa"
"mp0166","int","1o2",0,0.8,4,"nin","Iminpa"
"mp0167","iny","2o3",0,0.8,4,"nin","Iminpa"
"mp0168","fpa","2o3",0,0.8,4,"nin","Iminpa"
"mp0169","int","2o3",0,0.8,4,"nin","Iminpa"
"mp0170","iny","1o2",0,0,0,"nin","Inorm"
"mp0171","fpa","1o2",0,0,0,"nin","Inorm"
"mp0172","int","1o2",0,0,0,"nin","Inorm"
"mp0173","iny","2o3",0,0,0,"nin","Inorm"
"mp0174","fpa","2o3",0,0,0,"nin","Inorm"
"mp0175","int","2o3",0,0,0,"nin","Inorm"
"mp0176","iny","1o2",0,0.2,0.2,"nin","Inorm"
"mp0177","fpa","1o2",0,0.2,0.2,"nin","Inorm"
"mp0178","int","1o2",0,0.2,0.2,"nin","Inorm"
"mp0179","iny","2o3",0,0.2,0.2,"nin","Inorm"
"mp0180","fpa","2o3",0,0.2,0.2,"nin","Inorm"
"mp0181","int","2o3",0,0.2,0.2,"nin","Inorm"
"mp0182","iny","1o2",0,0.8,0.8,"nin","Inorm"
"mp0183","fpa","1o2",0,0.8,0.8,"nin","Inorm"
"mp0184","int","1o2",0,0.8,0.8,"nin","Inorm"
"mp0185","iny","2o3",0,0.8,0.8,"nin","Inorm"
"mp0186","fpa","2o3",0,0.8,0.8,"nin","Inorm"
"mp0187","int","2o3",0,0.8,0.8,"nin","Inorm"
"mp0188","iny","1o2",0,0.8,4,"nin","Inorm"
"mp0189","fpa","1o2",0,0.8,4,"nin","Inorm"
"mp0190","int","1o2",0,0.8,4,"nin","Inorm"
"mp0191","iny","2o3",0,0.8,4,"nin","Inorm"
"mp0192","fpa","2o3",0,0.8,4,"nin","Inorm"
"mp0193","int","2o3",0,0.8,4,"nin","Inorm"
