"SCENARIO","OM","MP","STKN","LHSC","SIGR","FHIST","CVFH","IDXT","CVID","ADVT","HCRT","PBUF","UCPL","UCPU","HCRI","BSAFE"
"sc000041","om001","mp0041","STK1","bc",0.75,"fopt",0.1,"b1p","low","iny","1o3",0,0.5,0.5,"nin","none"
"sc000042","om001","mp0042","STK1","bc",0.75,"fopt",0.1,"b1p","low","fpa","1o3",0,0.5,0.5,"nin","none"
"sc000043","om001","mp0043","STK1","bc",0.75,"fopt",0.1,"b1p","low","int","1o3",0,0.5,0.5,"nin","none"
"sc000044","om001","mp0044","STK1","bc",0.75,"fopt",0.1,"b1p","low","iny","2o3",0,0.5,0.5,"nin","none"
"sc000045","om001","mp0045","STK1","bc",0.75,"fopt",0.1,"b1p","low","fpa","2o3",0,0.5,0.5,"nin","none"
"sc000046","om001","mp0046","STK1","bc",0.75,"fopt",0.1,"b1p","low","int","2o3",0,0.5,0.5,"nin","none"
"sc000047","om001","mp0047","STK1","bc",0.75,"fopt",0.1,"b1p","low","iny","1o5",0,0.5,0.5,"nin","none"
"sc000048","om001","mp0048","STK1","bc",0.75,"fopt",0.1,"b1p","low","fpa","1o5",0,0.5,0.5,"nin","none"
"sc000049","om001","mp0049","STK1","bc",0.75,"fopt",0.1,"b1p","low","int","1o5",0,0.5,0.5,"nin","none"
"sc000050","om001","mp0050","STK1","bc",0.75,"fopt",0.1,"b1p","low","iny","1o2",0,0.5,1,"nin","none"
"sc000051","om001","mp0051","STK1","bc",0.75,"fopt",0.1,"b1p","low","fpa","1o2",0,0.5,1,"nin","none"
"sc000052","om001","mp0052","STK1","bc",0.75,"fopt",0.1,"b1p","low","int","1o2",0,0.5,1,"nin","none"
"sc000053","om001","mp0053","STK1","bc",0.75,"fopt",0.1,"b1p","low","iny","1o3",0,0.5,1,"nin","none"
"sc000054","om001","mp0054","STK1","bc",0.75,"fopt",0.1,"b1p","low","fpa","1o3",0,0.5,1,"nin","none"
"sc000055","om001","mp0055","STK1","bc",0.75,"fopt",0.1,"b1p","low","int","1o3",0,0.5,1,"nin","none"
"sc000056","om001","mp0056","STK1","bc",0.75,"fopt",0.1,"b1p","low","iny","2o3",0,0.5,1,"nin","none"
"sc000057","om001","mp0057","STK1","bc",0.75,"fopt",0.1,"b1p","low","fpa","2o3",0,0.5,1,"nin","none"
"sc000058","om001","mp0058","STK1","bc",0.75,"fopt",0.1,"b1p","low","int","2o3",0,0.5,1,"nin","none"
"sc000059","om001","mp0059","STK1","bc",0.75,"fopt",0.1,"b1p","low","iny","1o5",0,0.5,1,"nin","none"
"sc000060","om001","mp0060","STK1","bc",0.75,"fopt",0.1,"b1p","low","fpa","1o5",0,0.5,1,"nin","none"
"sc000061","om001","mp0061","STK1","bc",0.75,"fopt",0.1,"b1p","low","int","1o5",0,0.5,1,"nin","none"
"sc000062","om001","mp0062","STK1","bc",0.75,"fopt",0.1,"b1p","low","iny","1o2",0,0.5,1.5,"nin","none"
"sc000063","om001","mp0063","STK1","bc",0.75,"fopt",0.1,"b1p","low","fpa","1o2",0,0.5,1.5,"nin","none"
"sc000064","om001","mp0064","STK1","bc",0.75,"fopt",0.1,"b1p","low","int","1o2",0,0.5,1.5,"nin","none"
"sc000065","om001","mp0065","STK1","bc",0.75,"fopt",0.1,"b1p","low","iny","1o3",0,0.5,1.5,"nin","none"
"sc000066","om001","mp0066","STK1","bc",0.75,"fopt",0.1,"b1p","low","fpa","1o3",0,0.5,1.5,"nin","none"
"sc000067","om001","mp0067","STK1","bc",0.75,"fopt",0.1,"b1p","low","int","1o3",0,0.5,1.5,"nin","none"
"sc000068","om001","mp0068","STK1","bc",0.75,"fopt",0.1,"b1p","low","iny","2o3",0,0.5,1.5,"nin","none"
"sc000069","om001","mp0069","STK1","bc",0.75,"fopt",0.1,"b1p","low","fpa","2o3",0,0.5,1.5,"nin","none"
"sc000070","om001","mp0070","STK1","bc",0.75,"fopt",0.1,"b1p","low","int","2o3",0,0.5,1.5,"nin","none"
